Date,Observation,Location,Relative Size,Description Size,Depth,Aspect,Elevation,Slope,Notes
2/7/21,Lower East slope on Mt Wister,Lat: 43.699718 Lng: -110.799103,2,2,30,E,9227,36-40,Appears to have slid during last storm cycle. Viewed from the top of 25 short on 02/10/21
2/6/21,ridgeline west of Mt Hunt- Northside granite ck,Lat: 43.625000 Lng: -110.882500,2,2.5,36,SE,9510,36-40,"<<Observed from the top of the crags, cow camp in JHMR looking north west. Maybe it went Saturday2/6 during the storm cycle, but not sure. Observed 2/8.>>"
2/5/21,"Endless, below the waterfall",Lat: 43.611366 Lng: -110.846870,2,3,48,N,8393,36-40,"Observed on February 2nd. Maximum depth 8-10’. Took most of the snow out of the apron and put it in the creek, damaging trees and exposing boulders. Lots of hang fire remains above."
2/5/21,Lower Powder pillows of shadow before Bradley Lk,Lat: 43.715389 Lng: -110.766319,2,1.5,30,E,7668,36-40,"Triggered on convex roller, Skier rode for about 30m before self arresting. Crown 10m wide, .8m tall. Skier able to free self from debris without assistance. Debris continued over a 5m cliff. It is possible this remotely triggering another avalanche, or that the debris continued to run and pull slabs off other southern aspects along drainage. Debris from that slide(not photoed) ran about 300m down the length of the drainage to where it flattens out. Possible it could have been triggered by someone else or naturally too, as the storm slab was active today on the old suncrust layer. Others we ran into shared similar stories of activity."
2/5/21,Lower shadow,Lat: 43.716717 Lng: -110.769417,2,1,30,E,8233,36-40,"Initially triggered smaller slab that stepped down to deeper layer. Triggered on convex roller. Weak layer surface hoar on larger slab, smaller slab weak layer n/o."
2/5/21,South Shoulder of Teewinot's East Face,Lat: 43.741230 Lng: -110.774483,3,3,48,E,10452,36-40,"Report of debris in Lupine Meadows, so avalanche made it to the valley floor. Debris was observed on 2/9 and was already covered in snow. The crown was not visible, so the size and date are estimated."
2/2/21,Lookers right shoulder on teewinot,Lat: 43.753357 Lng: -110.758614,2,2,12,E,9006,41-45,Observed from the middle shoulder on teewinot trees. Point release above cliff band. Appears to be wind slab / storm slab that released due to extensive solar radiation above inversion. Looks to have broken on the new snow / old snow interface.
1/31/21,East facing slope above spaghetti,Lat: 43.625591 Lng: -110.830200,,,24,E,9319,41-45,<<Remotely triggered by skier horizontally crossing slope. Slide on High pressure crusts. >>
1/31/21,Olive Oil,Lat: 43.625591 Lng: -110.830704,2,2,24,NE,9409,36-40,<< Initial report. 4 skiers were all caught and carried in slide. One was fully buried with an avalung. It was a shallow burial and he was able to self extricate from the snow. He suffered a leg injury. A rescue was performed by GTNP Rangers and TCSAR. This is an initial report. Details including time and location will be updated as more information comes in. >>
1/31/21,Wimpys- north gully,Lat: 43.671001 Lng: -110.800499,2,2,20,N,9039,36-40,<<Remote trigger from ridge. Did not run very far.>>
1/30/21,milelong,Lat: 43.615192 Lng: -110.844337,2,,24,N,7485,36-40,2nd hand report of a large debris pile out of milelong. Reporting party did a transceiver search and found no signals. Trigger and crown size unknown.
1/29/21,Mt hunt,Lat: 43.628220 Lng: -110.866798,2,2,36,SE,10025,36-40,"<<Date of occurrence estimated, observed on the morning of January 31.>>"
1/24/21,Surprise Faces,Lat: 43.723301 Lng: -110.764305,1,1,10,E,8038,>45,"Skier rode up to scope a cliff feature on lower surprise faces, soft slab broke at my feet and ran over cliff into low angle terrain, propagated into adjacent steep rollover. Crown was 10-12 feet wide, ran 60-70 feet. New storm snow slid on sun crust bed surface. Skier was not caught or carried, but this could have been more consequential had skier been carried over cliff."
1/22/21,Prospector Mtn / SOA,Lat: 43.649872 Lng: -110.828003,2,2,24,NE,9261,36-40,<<Did not see the crown. We observed the debris pile which ran 400-500ft past the mouth of the couloir. Depths of the debris pile ranged from 8-10ft and was 75-100ft wide. Bed surface in adjacent terrain was pencil hardness. >>
1/18/21,4-Hour couloir,Lat: 43.710541 Lng: -110.785767,,,,S,8552,36-40,"Observed exiting avalanche canyon, pretty good sized slough."
1/18/21,"SE Face South Teton, Wrays Slide",Lat: 43.717670 Lng: -110.818604,2,1.5,12,SE,12175,31-35,"Reporting party of near-miss: Size estimated due to visibility. Another party skied down to Taminah Lake after us and reported that the crown was 1 foot deep where our tracks were. It looked to have propagated much farther skiers left around the SE face. Pictures are taken from Amora Vida col. The third photo was from the parking lot the following day. Observing party's Observation: Parties ahead of us ski cut the slope and got wind slabs to release crowns measured 12+ inches. The remaining pockets were very reactive. Bed surface appeared to be sun crust but could have been are wind-packed layer. New snow at high elevations with wind was easily 8-10 inches deep. In the Amor a Vida there was an old crown at the top, buried by 6-8 inches of new snow., new snow was reactive in the top. Photos show an isolated pocket that slid around 11,000ft and a shooting crack observed in Avalanche Canyon at 8416ft."
1/16/21,Veiled Peak SE Face,Lat: 43.700684 Lng: -110.825737,2,2.5,36,SE,10995,36-40,"We observed ski tracks exiting a large avalanche path on the SE face of Veiled Peak. While we did not witness the slide occur, we can infer that this was triggered by a skier(s). It looked like a large wind slab, but could have also failed on persistent weak snow. Lucky that nobody was caught, the slide looked like it had a max crown depth of ~4ft, and passed through unsurvivable terrain to the skier's right."
1/16/21,South facing runout of Shadow Peak,Lat: 43.709946 Lng: -110.769409,1,1,6,S,7489,36-40,Remotely triggered by the fourth skier to pass through the slope. Crown was 20 ft above skier's path.
1/16/21,south face of Teewinot,Lat: 43.741940 Lng: -110.782204,2,2,36,S,10717,36-40,"observed from a distance. Appears rather deep crown, probably fresh wind loading, natural from 1/15 or 1/16 early morning. Much more wind in the alpine than forecasted."
1/13/21,Skiers right of Air Force Chutes,Lat: 43.611900 Lng: -110.834801,2,2.5,18,NE,7898,36-40,<<While changing our layers on the track out we heard a huge snap during a large gust of wind above us. As we looked up we saw this slide coming down on us missing us by 30'. Luckily we choose a safe spot to stop. Large trees and branches came down burying the track with 3-6' deposition x 80' wide continuing down into the boulders almost to the creek. We could not see where it started as the trees were too thick. Also saw three other small wet sliders with 2-3' that crossed the track before and after Graffiti Rock. >>
1/13/21,Mt Hunt East Bowl,Lat: 43.628738 Lng: -110.856400,3,3,48,SE,10034,36-40,<<Observed when skies cleared in the morning on January 14.>>
1/13/21,East face of Mavericks,Lat: 43.676659 Lng: -110.780998,2,1.5,24,NE,7791,36-40,"<<All obs are estimated as this was seen from afar. Seemed to be from the 01/13 event, crown didn't look fresh. No skier/rider tracks observed. >>"
1/13/21,North side of Poborski Ridge,Lat: 43.689812 Lng: -110.773697,1,1,4,N,8013,36-40,<<Intentionally skier triggered via a test slope on a recently formed wind slab. The slab propagated and slid with minimal effort from a single ski stomp. We safely triggered this on a level 1 avalanche course. Amazing learning! >>
1/7/21,Teewinot,Lat: 43.747162 Lng: -110.763306,3,3.5,,E,8832,,Observed from Highway 89. Crown looked to extend across entire convexity above north gully. Appeared to run full length with very large debris field
1/5/21,Pucker Face Low,Lat: 43.589909 Lng: -110.888702,1,1.5,18,SE,10022,36-40,<<Blown in crown from storm on 1/5>>
1/5/21,Cave of Cardiac Ridge,Lat: 43.593948 Lng: -110.884499,2,2,48,NE,9756,41-45,<< >>
1/5/21,TNT,Lat: 43.610458 Lng: -110.846901,2,2,18,N,8683,36-40,<<Skier cut resulted in a soft slab avalanche the pulled out additional snow form walls and fast and nearly full path. The wind shift that started in early afternoon cross loaded this slope and crown depths were between 15-22” with horizontal crown and propagation along the path in places.. This fast moving snow would have provided no escape and was an impressive avalanche. Also observed other skier triggered slide and natural slides from Olive Oil>>
1/5/21,Gully at Base of 25 Short,Lat: 43.690201 Lng: -110.768898,1,1,12,SE,7566,36-40,
1/5/21,Lower North Ridge of 25 Short,Lat: 43.700001 Lng: -110.757500,1,1,15,NE,7096,31-35,<<SS-ASr-R1D1-S. Stomped at back of wind lip causing fracture to run 60' along topside width of wind lip to location steep enough to slide. Slide 20' wide X 15' X 15 deep.>>
1/5/21,Wilcox Point,Lat: 43.971729 Lng: -110.712097,1,1,24,N,8080,36-40,<<There was lots of cracking and many small slides at 8k and below.>>
1/4/21,South most Gully on Mavericks,Lat: 43.676838 Lng: -110.779938,1,1,16,NE,7662,31-35,Small rider triggered event (possibly remote) above terrain trap.
1/3/21,Granite Canyon,Lat: 43.611710 Lng: -110.830902,1,1,14,N,7727,36-40,"<<Skier pulled off to the side of narrow chute to let slough run through. Soft storm slab pocket on side of chute ripped out 15’ above skier and started to carry skier, skier had a hold off trees and was pulled into the chute by the moving snow. Slab propagated for the entire width of the pocket, approx 20’, crown ranged from 6-14”. Skier was able to ski out of slide to avoid being carried. If skier was carried injury would have been likely due to obstacles in slide path. >>"
1/3/21,Middle Ullrs Gully,Lat: 43.688129 Lng: -110.777702,2,1.5,12,S,7988,36-40,<<Skiing down to the very end of Snow Devil ridge saw this 200+ foot wide crown across the Ullr’s path from us. Sidestepping out to take this photo I intentionally triggered the north facing D 0.5 slide visible in the bottom of the photo. Talked with split boarders at the flats below Snow Devil saying they triggered a similar D 0.5 slide entering the confluence of the two drainages which remotely triggered the slide I’m reporting.>>
1/2/21,Upper Delta Chute,Lat: 43.731392 Lng: -110.779701,2,1.5,10,NE,9859,36-40,Wind slab involving the new snow from 1/2 snowfall failed on approach - crown depth ranged from 2 inches to 12 inches
12/30/20,The Wall - Avalanche Canyon,Lat: 43.707066 Lng: -110.839539,2,2,36,NE,10638,36-40,"Date, size, and crown depth estimated"
12/30/20,Below Delta Lake,Lat: 43.729263 Lng: -110.766510,2,1.5,24,E,8681,36-40,Date and trigger estimated. Crown partially filled in.
12/28/20,Whimpys north chute,Lat: 43.671795 Lng: -110.805374,1,1,12,N,9833,36-40,ARc
12/28/20,Peaches,Lat: 43.676048 Lng: -110.797913,2,1.5,15,NE,9270,41-45,ARc
12/28/20,Looker's Right of the Spoon,Lat: 43.731789 Lng: -110.786751,1,1,18,E,10549,36-40,observed on 12/31. Crown looked like a fresh wind slab. Date and size are estimated.
12/27/20,Rim rock couloirs,Lat: 43.652504 Lng: -110.843086,2,3,72,N,10804,31-35,Observed 12/28 all info estimated
12/27/20,Wister NE,Lat: 43.704014 Lng: -110.797401,2,2,18,NE,8475,36-40,"Date, Time, Trigger, and Crown Size are all estimated. Came across debris that was likely deposited on 12/27."
12/22/20,Indian lake Cirque,Lat: 43.631344 Lng: -110.892303,1,1.5,24,E,10034,36-40,date time and location estimated
12/21/20,Olive oil,Lat: 43.626190 Lng: -110.814888,2,2,16,E,7210,36-40,Observed on Thursday. I suspect it failed on surface hoar on the Dec 11 interface and slid on the 21st. Crown was ~100yards wide.
12/21/20,25 short,Lat: 43.692070 Lng: -110.763496,1,1,12,S,7520,36-40,"<<Observed from a distance - Trigger unknown, event was likely Tuesday evening or Wednesday morning.>>"
12/21/20,East Face/ Ridge Mt Wister,Lat: 43.700970 Lng: -110.799301,,,24,SE,9387,,"<<Observed crown and flanks of 2 very large avalanches on the East Face/ Ridge of Mt Wister 12/23, most likey ocurred at the peak of the warming/ rain event 12/21.>>"
12/21/20,Glacier Gulch,Lat: 43.727989 Lng: -110.763535,2,2,18,N,8314,36-40,Was observed several days after it probably slid
12/19/20,Bottom of Olive Oil,Lat: 43.632454 Lng: -110.814301,1,1,12,NE,7345,31-35,"Remotely triggered small pocket in a small but steep micro gully feature from 30' away while on lower angle terrain. Slide was 30 wide and 6 feet long, as it terminated into a small gully. Failure was on buried SH layer. I performed a stability test nearby and results included: CT3 SC, ECTN."
12/19/20,Lower Maverick,Lat: 43.679829 Lng: -110.769035,1,1,12,NE,7153,36-40,Natural slide in one of Maverick’s low ravines
12/19/20,25 short,Lat: 43.692070 Lng: -110.763496,1,1,18,SW,7190,36-40,<<Remote trigger by skier approximately 30ft above crown. Classic convex rollover into terrain trap.>>
12/17/20,North side of Poborskys ridge,Lat: 43.691189 Lng: -110.769501,1,1,18,NE,7792,36-40,<<Observed natural WS avalanche on north side of pobo’s ridge. Looked like it occurred with in last 24hr. About 50 ft wide and ran about 100 ft. >>
11/15/20,"Static Peak, GTNP",Lat: 43.683044 Lng: -110.815224,2,2,24,NE,10890,36-40,"Observed from the road on 11/17. The date, size, and type are estimated. The crown was visible without binoculars and looked crisp with them."
11/11/20,Top of Ford Couloir/Grand Teton,Lat: 43.740566 Lng: -110.802971,2,3,60,SE,13604,,Viewed in the morning on November 12 with scope from valley through broken clouds. Crown appears to be 1.5-2.5 meters deep and 30-60 meters wide.
10/24/20,Cardiac Cirque,Lat: 43.582039 Lng: -110.907867,1,1,12,E,9708,36-40,Partially filled in crowns observed on October 28. Three small pockets of soft slab.
