Date;Map Thumb;Northern Areas;Southern Areas;Wind Speed;Wind Direction;Avalanche Activity;Notes
Sunday 4/17/22;NA;"0.7/6"" Brackett
0.4/4"" Shower
0.3/3"" Lobo";"0.4/4"" Carrot
0.2/2"" Madison
/ 
0.9/9"" Fisher";15-25 G30-60;W;"Natural large slabs on The Throne;Natural Avalanche Fin;Skier triggered avalanche in Sheep Creek;Natural and skier triggered small new snow slides";
Saturday 4/16/22;NA;"0.0/0"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.0/0"" Carrot
0.2/2"" Madison
/ 
0.1/3"" Fisher";10-20 G30;SE-E;"Five skiers caught in large natural dry loose;Small skier-triggered and natural dry loose slides near Cooke City";
Friday 4/15/22;NA;"0.1/2"" Alpine
0.2/2"" Shower
0.2/3"" Timber";"0.3/3"" Carrot
0.4/4"" Lionhead
/ 
0.3/4"" Fisher";15 G30-50;"W
(E in Bridgers)";;
Thursday 4/14/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.2/2"" Carrot
0.2/2"" Madison
/ 
0.1/1"" Fisher";5-25 G20-35;W-SW;;
Wednesday 4/13/22;NA;"0.3/6"" Alpine
0.1/2"" Shower
0.1/3"" Timber";"0.2/2"" Carrot
0.1/2"" Madison
/ 
0.0/0"" Fisher";5-15 G25;E-NW-W;;
Tuesday 4/12/22;NA;"0.5/8"" Brackett
0.8/10"" Shower
0.5/7"" Timber";"0.6/11"" Carrot
0.4/6"" Madison
/ 
0.5/8"" Fisher";"10-15 G30
45 G90 Bridger Range";E-N;;
Monday 4/11/22;NA;"0.1/1"" Brackett
0.2/2"" Shower
0.2/2"" Lobo";"0.1/1"" Carrot
0.2/2"" Madison
/ 
0.1/1"" Fisher";5-15 G35;W-SW;;
Sunday 4/10/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-15 G25-35;NW-W;;
Saturday 4/9/22;NA;"0.2/1"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";15-20 G45;S-SW-W;;"High teens to low 30s F @0600

40-60 F yesterday"
Friday 4/8/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-15 G25;SW-NW;Natural wet loose Avalanche, East Rosebud;Light freeze overnight
Thursday 4/7/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";15-25;NW;;
Wednesday 4/6/22;NA;"0.2/3"" Bridger
0.3/3"" Shower
0.1/2"" Timber";"0.1/1"" Carrot
0.1/1"" Madison
/ 
0.3/3"" Fisher";15-20 G55;W-NW;Wind Slabs in Beehive and Cooke City;@0600
Tuesday 4/5/22;NA;"0.3/3"" Brackett
0.8/8"" Shower
1.0/10"" Lone";"0.4/4"" Carrot
0.5/5"" Madison
/ 
1.3/13"" Fisher";20-30 G65;W;;
Monday 4/4/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"10-30
G30-50";W-SW;;
Sunday 4/3/22;NA;"0.5/5"" Bridger
0.2/2"" Shower
0.3/2"" Lone";"0.1/1"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";"15-25 
G30-60";W-NW;Skier caught and injured on Wilson Peak;
Saturday 4/2/22;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G30;SW-W;"Skier Triggered Wind Slab in Beehive;Sluffs and wind slabs in N. Absarokas;Skier triggered (?) small slab on The Fin";
Friday 4/1/22;NA;"0.3/3"" Brackett
0.3/3"" Shower
0.2/2"" Timber";"0.1/1"" Carrot
0.2/3"" Madison
/ 
0.5/5"" Fisher";10-15 G30;W-NW;Skier triggered slough on Black Mtn (Absarokas);
Thursday 3/31/22;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15 G20-30;SW-NW;;@0600
Wednesday 3/30/22;NA;"0.2/2"" Alpine
0.3/2"" Shower
0.1/1"" Lobo";"0.2/2"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";10-20 G40;W-N;Wet Slab near Bell Lake;
Tuesday 3/29/22;NA;"0.1/0"" Alpine
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-10 G45;W-NW;;"Freezing Level 8000-9000'

1-5 hr freeze @0400"
Monday 3/28/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-20 G25-50;SW;Many Wet Snow Avalanches, Targhee Creek - Lionhead;No freezing temperatures overnight below 11,000'
Sunday 3/27/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15 G15-40;SW-W;"Wet Slab Avalanches Argentina Bowl;Wet Snow Avalanches North of Ross Peak;Wet Loose Avalanches in the Northern Bridger Range;Natural wet loose slides near Cooke;Natural wet slabs near Cooke City;Natural wet slides in closed terrain at Bridger, Big Sky and Y.C.;Explosive and skier triggered wet slabs at Y.C.;Wet Snow Avalanches Cooke City;Wet Loose Avalanche on Baldy Mtn";No freezing temps overnight below 10,000'
Saturday 3/26/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G30-40;W;"Snowmobile triggered hard slab T Fork;Many natural wet slides at Bridger Bowl;Wet loose slide, skier triggered BSSP;Whumphing and natural wet slide near Electric Peak;Wet Loose on Mt. Blackmore;Natural slabs on Sphinx and Cedar";Low temps at or above freezing
Friday 3/25/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-10 G20;W/NW;"Slab avalanches near Cooke City;Natural slab on Sawtooth near Cooke";Light refreeze overnight
Thursday 3/24/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";15-20 G20-40;W-SW;"3 skiers caught, 2 injured on Woody Ridge near Cooke;Dry Slab in Lone Lake Cirque;Two natural slab avalanches in Sheep Crk, Cooke";"@5am No overnight freeze in Bridgers; Gall/Mad just barely frozen."
Wednesday 3/23/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"10-15 G30
25-38@Bridger";W-NW;"Large collapses on Barronette Peak;Cornice collapse, many wet slides in Hyalite;Natural avalanche on Sawtooth Mountain";@4am: freezing level about 7,000'
Tuesday 3/22/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-20 G40;W-NW;"Natural Avalanche on the Fin;Cornice triggered slide on Cedar Mountain";
Monday 3/21/22;NA;"0.3/3"" Alpine
0.4/4"" Shower
0.4/5"" Lobo";"0.2/2"" Carrot
0.1/1"" Madison
/ 
0.2/2"" Fisher";"5-10 G30 
15 G35 Cooke/ N Gallatin";"W-NW
E Lionhead";"Skier Triggered Avalanche Saddle Peak;Skier Triggered Avalanche North of Bridger Bowl;Snomobile Triggered Avalanche on Cedar Mountain";
Sunday 3/20/22;NA;"0.3/2"" Alpine
0.3/5"" Shower
0.4/5"" Timber";"0.1/2"" Carrot
0.1/1"" Madison
/ 
0.1/1"" Fisher";10-25 G25-45;S-SW-W;"Several small storm slabs near Beehive;Natural Avalanche in Maid of the Mist;Easy sluffing Wolverine bowl;Natural Avalanches Divide Peak Basin;Natural Avalanche Cedar Mountain;Large natural avalanche in Sunlight Basin";@0600
Saturday 3/19/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.1/1"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";5-20 G25-35;SW-W;"Two natural cornice fall triggered slides at Lionhead;Collapsing on NE aspect in Bear Basin;Cornice Triggered Avalanche Republic Creek";
Friday 3/18/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15 G30;S-W;;
Thursday 3/17/22;NA;"0.1/1"" Brackett
0.2/2"" Shower
0.2/3"" Timber";"0.2/2"" Carrot
0.0/0"" Madison
/ 
0.2/2"" Fisher";5-15 G25;W-NW (NE@Lionhead);"Natural wind slab and point releases near Cooke;Natural Slides on Miller and Crown Butte";
Wednesday 3/16/22;NA;"1.0/6"" Alpine
0.4/4"" Shower
0.5/5"" Timber";"0.4/4"" Carrot
0.3/3"" Madison
/ 
0.5/5"" Fisher";10-15 G35;W-SW;"Natural Avalanches on Saddle Peak;Skier triggered and caught in slide above Lava Lake;Skier triggered slide on Mount Abundance";
Tuesday 3/15/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.2/2"" Madison
/ 
0.0/0"" Fisher";10-25 G50;SW-W;Large natural avalanche on Cedar Mountain;
Monday 3/14/22;NA;"0.6/6"" Brackett
0.4/5"" Shower
0.4/5"" Timber";"0.4/5"" Carrot
0.2/3"" Madison
/ 
0.6/8"" Fisher";10-20 G50;SW-NW;"Natural avalanches in recent new snow Cooke City;Snowmobile triggered slide on Buck Ridge;Multiple Skier Triggered Avalanches on Mt. Blackmore;Skier remote triggered, Zimmer Creek and whumphing;Natural avalanches near Cooke City";
Sunday 3/13/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.1/1"" Carrot
0.1/1"" Madison
/ 
0.1/1"" Fisher";"15-35 
G25-55";SW-S;"Skier Triggered Avalanche near Big Sky;Natural and skier triggered storm slabs;Snowboarder Triggered Avalanche Crazy Mountains";
Saturday 3/12/22;NA;"0.1/2"" Bridger
0.1/1"" Shower
0.1/4"" Great Bear";"0.2/3"" Carrot
0.2/2"" Lionhead
/ 
0.3/4"" Fisher";"15-25 G35-55
35 G68 in Hyalite";W/SW;"Skier remote triggered near Cooke;Snowmobile triggered, Rastas and near Sheep;Many natural 6-10"" deep avalanches near Cooke;Snowboarder triggered, un-injured, N. Bridgers;Shooting Cracks Ross Peak ;Natural and Human Triggered Avalanches at Buck Ridge";
Friday 3/11/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";15-20 G25-35;SW-NW;;
Thursday 3/10/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"10-25 G20;
G42 in Bridgers";W-N;Skier triggered windslabs in Hyalite;@0400 temps are -15F to -20F at 9,000'
Wednesday 3/9/22;NA;"0.2/2"" Brackett
0.1/1"" Shower
0.2/4"" Timber";"0.2/3"" Carrot
0.3/4"" Black Bear
/ 
0.2/2"" Fisher";5-10 G20, 30 Lionhead;E-N;Skier triggered slide on Blackmore approach;@0400 temps are -15F at 9,000'
Tuesday 3/8/22;NA;"0.3/5"" Brackett
0.4/8"" Shower
0.2/4"" Lobo";"0.1/2"" Carrot
0.2/4"" Madison
/ 
0.1/2"" Fisher";5-15 G35;NW-SW;"Skier Triggered Avalanche Lick Creek;Natural avalanches on Saddle Peak;Thin Wind Slab on Henderson Mtn.";"@ 0400

5% Density"
Monday 3/7/22;NA;"0.1/1"" Brackett
0.0/0"" Shower
0.1/1"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"5-15 
G20-35 North
G10-20 South";NW-W;;
Sunday 3/6/22;NA;"0.0/1"" Bridger
0.2/2"" Shower
0.1/1"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"5-15 G15-25
20G35-Lionhead";N-NW;"Shooting cracks and unstable pit on Alex Lowe;Snowmobile triggered large slab on Scotch Bonnet";
Saturday 3/5/22;NA;"0.1/2"" Alpine
0.2/2"" Shower
0.1/1"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";"5-10
G30 in Bridgers";SE-NE;Collapse in Pebble Creek, YNP near Cooke;
Friday 3/4/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G30-40;S-W;Skier remote triggered near Cooke;Light freeze overnight
Thursday 3/3/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G30;W-SW;"Wind Slab on Lionhead Ridge;Wet Loose avalanches in Lionhead, Hyalite, Cooke;Natural avalanches in Cooke City;Wet slides along Quake Lake and Cabin Creek ;Natural avalanches in Pebble Creek";72 hours without a freeze in Bridger, Big Sky, and Hyalite.
Wednesday 3/2/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.1/1"" Timber";"0.2/2"" Carrot
0.0/0"" Madison
/ 
0.3/3"" Fisher";15-25 G45;W-SW;Wet loose - Cooke City;Minimal to no freeze in Mountains (BZN + Big Sky)
Tuesday 3/1/22;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.2/2"" Timber";"0.2/2"" Carrot
0.0/0"" Madison
/ 
0.2/2"" Fisher";15-35 G55;W-SW;Skier triggered Soft Slab Avalanche in Goose Creek;
Monday 2/28/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"10-25
G25-60";SW-W;;
Sunday 2/27/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15-25 G30-45
15G22 Cooke";"W-SW
NW-Cooke";"Snowmobile triggered hard slab, Sheep Mtn., Cooke;Collapse and ""whumph"" on Scotch Bonnet;Shooting Cracks in Hyalite and Specimen Creek";
Saturday 2/26/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15 G30
30 G45 in Bridgers";W-NW;"Remotely triggered wind slab in N. Bridgers;Skier remote triggered multiple wide slides in Ainger Basin;Skier triggered and caught in avalanche N. Bridgers;Skier triggered wind slab on Mt. Blackmore;Snowmobile triggered slide near Goose Creek, Cooke;Small skier and rider triggered slides near Cooke;Skier triggered shallow wind slab on Baldy;Thin Wind Slab Blackmore";
Friday 2/25/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"5-10
20 G30 in Bridgers";W-N;"Thin wind slab on Blaze Mtn.;2 snowmobile triggered slides in Tepee";
Thursday 2/24/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G35;W-NW;;
Wednesday 2/23/22;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15 G20;SE-NE;Small avalanche in YNP;"15F to 20F inversion

-4F at 9000'; -23F at 7300'"
Tuesday 2/22/22;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.1/2"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"5-10 G20
30 G60 Bridger Range";E-NE;"Loose snow avalanches in Hyalite;Whumpfs and Shooting Cracks on Woody Ridge";Morning temps = -12 to -25 F
Monday 2/21/22;NA;"0.9/13"" Alpine
0.4/6"" Shower
0.5/9"" Timber";"0.1/2"" Carrot
0.3/4"" Madison
/ 
0.4/5"" Fisher";5-10 G45;W;"Snowmobile-Triggered Avalanche near Round Lake;Avalanche South Face Mount Abundance;Natural small loose slides, Bridgers";
Sunday 2/20/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.2/2"" Fisher";"20-25
G35-62";SW-W;;
Saturday 2/19/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.2/2"" Fisher";15-25 G25-40;"W-SW
WNW-Cooke";"Skier triggered wind slab on Town Hill;Avalanche Fatality on Miller Mountain (snow bike);Collapse in Deep Creek;Smowmo triggered small slab near Two Top";AVALANCHE FATALITY COOKE CITY
Friday 2/18/22;NA;"0.0/0"" Brackett
0.1/1"" Shower
0.1/2"" Bavaria";"0.2/3"" Carrot
0.1/1"" Madison
/ 
0.3/3"" Fisher";"15-25 G30-50
G60 Bridgers";SW-NW;"Natural small wind slab on Divide Peak;Skier intentionally triggered small wind slabs, Divide Pk;Natural on Scotch Bonnet, Cooke;Cracking wind slabs in Frazier Basin;Skier triggered small wind slabs near Cooke";
Thursday 2/17/22;NA;"0.3/5"" Brackett
0.1/1"" Shower
0.1/1"" Timber";"0.2/2"" Carrot
0.1/1"" Black Bear
/ 
0.0/1"" Fisher";15-25 G 30-40;W-NW;"Natural avalanches on Saddle Peak, Argentina Bowl and Pinnacles ;Natural in Argentina Bowl;Small storm slabs on Buck Ridge";
Wednesday 2/16/22;NA;"1.0/12"" Bridger
0.3/3"" Shower
0.4/9"" Timber";"0.1/2"" Carrot
0.2/2"" Black Bear
/ 
0.1/2"" Fisher";10-15 G 20-30;W-NW;;@0600
Tuesday 2/15/22;NA;"0.2/2"" Alpine
0.1/1"" Shower
0.1/2"" Lobo";"0.1/1"" Carrot
0.2/2"" Black Bear
/ 
0.3/3"" Fisher";10-20 G45;W-S;;@ 0600
Monday 2/14/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.0/0"" Fisher";10-20 G35;W-SW;;
Sunday 2/13/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.0/0"" Fisher";10-20 G25-40;W-NW;;
Saturday 2/12/22;NA;"0.1/2"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.1/1"" Fisher";"15-20 G35 in North
5-10 G25 in South";NW-W;"Cornice fall avalanche on Cedar;Natural Avalanche in Wyoming Creek;Skier Triggered Avalanche Silver Gate;Snowmo triggered small slide near Cooke";
Friday 2/11/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.1/1"" Black Bear
/ 
0.0/0"" Fisher";"15-25 G40-60
35 in Cooke";NW-W;;
Thursday 2/10/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.1/1"" Timber";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.1/1"" Fisher";"10-20 G35; G53 Bridgers";W-N;;
Wednesday 2/9/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.0/0"" Fisher";"10-20 G35; G50 Bridgers";W-NW;Large whumpfs and collapses near Cooke;
Tuesday 2/8/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.0/0"" Fisher";15-25 G60;W-NW;;
Monday 2/7/22;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.0/0"" Fisher";10-25 G55;W-SW;"Natural avalanche on Scotch Bonnet;Naturals in Pebble Creek";
Sunday 2/6/22;NA;"0.1/1"" Brackett
0.3/4"" Shower
0.0/0"" Lone";"0.1/2"" Carrot
0.1/2"" Black Bear
/ 
0.5/7"" Fisher";5-25 G20-55;W-NW-N;"Small natural avalanches near Cooke City;Natural Avalanches Woody Ridge;Fatal Avalanche Ski Hill;Small Snowmobile Triggered Avalanche;Small, Skier-Triggered Avalanche Blackmore;Rider-Triggered Avalanche SW face of Sheep Mountain;Remote triggered slide near Goose Creek;Natural in Goose Creek near Cooke";AVALANCHE FATALITY - LIONHEAD
Saturday 2/5/22;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.1/1"" Black Bear
/ 
0.1/3"" Fisher";"20-30 G35-55
10 G25 in Cooke";SW-W;"Small Natural Avalanche, Flanders;Small natural storm snow slides near Cooke;Natural on Miller Mtn near Cooke";@0600
Friday 2/4/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Black Bear
/ 
0.0/0"" Fisher";15-25 G35-45;NW-W;"Small skier triggered slides in YNP;Collapse on buried surface hoar near Cooke";
Thursday 2/3/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15-30 G46 in North; 10-20 in South";SW-NW;"Avalanche on Meridian Peak;Large Natural Avalanche on Emigrant Peak";
Wednesday 2/2/22;NA;"0.3/4"" Alpine
0.2/4"" Shower
0.3/5"" Timber";"0.2/4"" Carrot
0.1/2"" Black Bear
/ 
0.1/2"" Fisher";5-15 G35;E - N - W;Partial Burial on Sawtooth Mountain near Goose Lake;
Tuesday 2/1/22;NA;"0.2/5"" Bridger
0.3/5"" Shower
0.3/5"" Lone";"0.1/2"" Carrot
0.2/3"" Madison
/ 
0.2/3"" Fisher";10-20 G60;W-NW;;
Monday 1/31/22;NA;"0.0/0"" Alpine
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15-30
G35-55";SW-S;;
Sunday 1/30/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"5-20
G20-40";W;;
Saturday 1/29/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15-25 G40
5-10 G25 Cooke";W;;
Friday 1/28/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-25 G 25-40;NW-W;Natural cornice triggered slide SW gully of Wilson Peak;
Thursday 1/27/22;NA;"0.0/0"" Brackett
0.1/1"" Shower
0.2/2"" Lobo";"0.1/1"" Beaver
0.0/0"" Madison
/ 
0.1/1"" Fisher";10-15 G30-40;N-NW-W;Small skier triggered and natural dry loose Bridgers;
Wednesday 1/26/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"20-30 G47 North; 
10-15 G25 South";SW-NW;;
Tuesday 1/25/22;NA;"0.1/2"" Brackett
0.4/6"" Shower
0.2/3"" Lobo";"0.2/3"" Carrot
0.1/2"" Madison
/ 
0.1/2"" Fisher";5-15 G35;W-N;Natural on Saddle Peak;
Monday 1/24/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"15-20 G45-60
5 G35 Lionhead";W-NW;;
Sunday 1/23/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Whiskey
/ 
0.0/0"" Fisher";"20G30-40 North
5-20 South";N-NW-W;"Human-triggered Avalanche, Playground;Natural Avalanche, Sheep Mountain;Skier Triggered Wind Slab, Mt Fox";
Saturday 1/22/22;NA;"0.0/0"" Brackett
0.4/4"" Shower
0.1/1"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.1/2"" Fisher";"5-15 G20-25
20G40 Bridger";W-NW;Skier triggered on north face of Republic;
Friday 1/21/22;NA;"1.3/9"" Brackett
0.4/5"" Shower
0.5/5"" Lone";"0.5/8"" Carrot
0.3/3"" Madison
/ 
0.2/2"" Fisher";"15-25 G30-55
10 G20 Cooke";SW-NW;Many small, loose avalanches in Cooke City;@0400
Thursday 1/20/22;NA;"0.1/1"" Brackett
0.1/1"" Shower
0.1/1"" Lobo";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.0/0"" Fisher";"5-15 G30
20 G40 Bridgers";W;;
Wednesday 1/19/22;NA;"0.2/2"" Bridger
0.0/0"" Shower
0.1/1"" Lobo";"0.2/2"" Carrot
0.0/0"" Madison
/ 
0.2/3"" Fisher";10-15 G30;W-NW;;@0600
Tuesday 1/18/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";10-20 G55;SW-NW;;Buried SH @ S Madison, S. Gallatin, Lionhead, Cooke
Monday 1/17/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G50;W;;
Sunday 1/16/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";5-15 G25-50;W;;
Saturday 1/15/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-15 G20-30;W-NW;;
Friday 1/14/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20;W-N;;
Thursday 1/13/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lobo";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";"10-20 G40 
5 G20 Cooke";W-SW;;
Wednesday 1/12/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.1/1"" Fisher";15-30 G30-57;SW-W;;
Tuesday 1/11/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Lone";"0.0/0"" Carrot
0.1/1"" Madison
/ 
0.0/0"" Fisher";10-20 G40;SW-NW;;
Monday 1/10/22;NA;"0.0/0"" Brackett
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.0/0"" Fisher";10-20 G25-45;NW-SW;;
Sunday 1/9/22;NA;"0.0/0"" Bridger
0.0/0"" Shower
0.0/0"" Timber";"0.0/0"" Carrot
0.0/0"" Madison
/ 
0.2/2"" Fisher";"10-25 
G25-40";SW-W;Skier triggered cornice beehive basin;
